Sistema de Informação de Mortalidade - Óbitos não fetais - Campinas;;;;;;;;;;;;;;;;;;;;;;;
Resid Campinas por Causa (CID10 3C) e Faixa Etária (5-5);;;;;;;;;;;;;;;;;;;;;;;
Período:2016;;;;;;;;;;;;;;;;;;;;;;;
Causa (CID10 3C);0-4;5-9;10-14;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85-89;90-94;95-99;100e+;Ign;Total
A04   Outr infecc intestinais bacter;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;3
A05   Outr intox alimentares bacter NCOP;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
A09   Diarreia e gastroenterite orig infecc presum;1;0;0;0;0;0;0;0;1;0;2;2;0;2;4;0;2;2;4;1;0;0;21
A16   Tuberc vias respirat s/conf bacter histol;0;0;0;0;0;1;0;0;1;0;0;1;3;1;1;0;2;0;0;0;0;0;10
A27   Leptospirose;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2
A35   Outr tipos de tetano;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
A39   Infecc meningogocica;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
A40   Septicemia estreptococica;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
A41   Outr septicemias;7;0;0;0;0;1;0;1;1;1;1;6;7;6;7;11;7;14;4;3;0;0;77
A46   Erisipela;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;2;1;4;0;1;0;0;11
A48   Outr doenc bacter NCOP;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;2;2;1;0;0;0;0;8
A49   Infecc bacter de localiz NE;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
A50   Sifilis congen;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
A98   Outr febres hemorragicas p/virus NCOP;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;2
B00   Infecc p/virus do herpes;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;5
B02   Herpes zoster;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
B18   Hepatite viral cronica;0;0;0;0;0;0;0;0;1;2;5;3;8;3;3;3;1;0;0;0;0;0;29
B20   Doenc p/HIV result doenc infecc e parasit;0;0;0;0;1;2;5;6;6;8;13;5;5;3;1;1;1;0;0;0;0;0;57
B21   Doenc p/HIV result em neopl malig;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2
B22   Doenc p/HIV result em outr doenc espec;0;0;0;0;0;0;1;2;1;0;1;1;1;0;0;0;0;0;0;0;0;0;7
B24   Doenc p/HIV NE;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;3
B27   Mononucleose infecc;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
B40   Blastomicose;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
B41   Paracoccidioidomicose;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
B45   Criptococose;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2
B55   Leishmaniose;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
B57   Doenc de Chagas;0;0;0;0;0;0;0;0;1;0;1;2;0;1;5;3;8;2;1;0;0;0;24
B65   Esquistossomose;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
B90   Sequelas de tuberc;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
B94   Sequelas de outr doenc infecc e parasit e NE;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
C01   Neopl malig da base da lingua;0;0;0;0;0;0;0;0;0;0;1;2;0;1;0;0;0;0;0;0;0;0;4
C02   Neopl malig outr partes e NE da lingua;0;0;0;0;0;0;0;1;1;0;1;0;2;1;0;1;0;0;0;0;0;0;7
C03   Neopl malig da gengiva;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
C04   Neopl malig do assoalho da boca;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;3
C05   Neopl malig do palato;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
C06   Neopl malig outr partes e partes NE da boca;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;4
C07   Neopl malig da gland parotida;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
C09   Neopl malig da amigdala;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;4
C10   Neopl malig da orofaringe;0;0;0;0;0;0;0;0;0;1;1;1;0;4;0;1;2;1;0;0;0;0;11
C11   Neopl malig da nasofaringe;0;0;0;1;0;0;0;0;0;1;1;2;0;1;0;0;0;0;0;0;0;0;6
